i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
澳大利亚,11268,2:37,7.7,2006,Murali K. Thalluri,剧情,99,澳大利亚,4045,1859053,https://movie.douban.com/subject/1859053/,http://www.imdb.com/title/tt0472582,11268,,
新加坡,22378,4:30,7.9,2005,陈子谦,剧情,93,新加坡,674,1767159,https://movie.douban.com/subject/1767159/,http://www.imdb.com/title/tt0497877,22378,,
英国,2364,7,9.2,1998,Magnus Carlsson,"短片,音乐",34,英国 / 美国,270,1418158,https://movie.douban.com/subject/1418158/,http://www.imdb.com/title/tt0354859,2364,,
法国,23732,7.57,7.7,2010,Simon Lelouch,"短片,音乐",11,法国,1201,4714342,https://movie.douban.com/subject/4714342/,http://www.imdb.com/title/tt1525914,23732,,
香港,2280,20,7.2,2004,张艾嘉,"剧情,喜剧,爱情,音乐,运动",113,香港 / 台湾 / 日本,43108,1310174,https://movie.douban.com/subject/1310174/,http://www.imdb.com/title/tt0397229,2280,,
日本,1591,69,7.5,2004,李相日,剧情,111,日本,5642,1316589,https://movie.douban.com/subject/1316589/,http://www.imdb.com/title/tt0408470,1591,,
美国,22273,405,7.2,2000,Bruce Branit,"喜剧,动作,惊悚,短片",,美国,400,3628789,https://movie.douban.com/subject/3628789/,http://www.imdb.com/title/tt0259165,22273,,
新加坡,8440,881,7.4,2007,陈子谦,"剧情,喜剧,歌舞",115,新加坡,315,2256976,https://movie.douban.com/subject/2256976/,http://www.imdb.com/title/tt0979847,8440,,
美国,11110,911,8.6,2002,Rob Klug,,102,美国 / 法国,152,1477175,https://movie.douban.com/subject/1477175/,http://www.imdb.com/title/tt0312318,11110,,
中国大陆,19043,1994,8.7,2015,谢梦茜,"纪录片,短片",4,中国大陆,59,26700645,https://movie.douban.com/subject/26700645/,,19043,,
日本,20485,2009,7.3,2009,及川拓郎,,,日本,456,4172515,https://movie.douban.com/subject/4172515/,,20485,,
美国,15172,2010,7.6,2010,Hamish Hamilton,音乐,,美国,735,5281568,https://movie.douban.com/subject/5281568/,http://www.imdb.com/title/tt1720618,15172,,
美国,9255,2010,7.7,1984,彼得·海姆斯,"科幻,悬疑,惊悚,冒险",116,美国,5612,1293572,https://movie.douban.com/subject/1293572/,http://www.imdb.com/title/tt0086837,9255,,
美国,1774,2012,7.7,2009,罗兰·艾默里奇,"动作,科幻,冒险,灾难",158,美国 / 加拿大,272948,3005875,https://movie.douban.com/subject/3005875/,http://www.imdb.com/title/tt1190080,1774,,
香港,541,2046,7.4,2004,王家卫,"剧情,爱情,科幻,奇幻",129,香港 / 中国大陆 / 法国 / 意大利 / 德国,118888,1291555,https://movie.douban.com/subject/1291555/,http://www.imdb.com/title/tt0212712,541,,
香港,7362,9413,7,1998,吴镇宇,"动作,悬疑,犯罪",90,香港,707,1295633,https://movie.douban.com/subject/1295633/,http://www.imdb.com/title/tt0179064,7362,,
Russia,18548,5月4日,7.9,1990,Ivan Maksimov,,,Russia,81,2281015,https://movie.douban.com/subject/2281015/,,18548,,
美国,3640,(无)性恋,7,2011,Angela Tucker,"剧情,喜剧,纪录片",75,美国,365,6812932,https://movie.douban.com/subject/6812932/,http://www.imdb.com/title/tt1811293,3640,,
英国,24188,“大都市”酒店珠宝失窃案,7.9,1993,安德鲁·格里弗,"剧情,悬疑,犯罪",52,英国,458,1768217,https://movie.douban.com/subject/1768217/,http://www.imdb.com/title/tt0245183,24188,,
英国,4635,“高级定制”的秘密世界,7.7,2007,Margy Kinmoth,,,英国,164,3831580,https://movie.douban.com/subject/3831580/,http://www.imdb.com/title/tt1008035,4635,,
英国,1074,“脉动”伦敦现场演唱会,9.6,1994,David Mallet,"纪录片,音乐",145,英国,376,1440919,https://movie.douban.com/subject/1440919/,http://www.imdb.com/title/tt0110758,1074,,
法国,8646,“我们的时代”之阿基郭利斯马基,8.2,2001,Guy Girard,,55,法国,38,2381932,https://movie.douban.com/subject/2381932/,http://www.imdb.com/title/tt0321701,8646,,
中国大陆,15484,“下次开船”港游记,8.4,1983,秦志钰,"儿童,奇幻",,中国大陆,451,1873359,https://movie.douban.com/subject/1873359/,,15484,,
美国,17874,“原始”家庭,7.1,1998,Todd Holland (I),"喜剧,家庭",94,美国,107,1300172,https://movie.douban.com/subject/1300172/,http://www.imdb.com/title/tt0120725,17874,,
美国,8579,《超人复活》夭折记,7.6,2015,乔恩·施奈普,纪录片,104,美国,45,25935972,https://movie.douban.com/subject/25935972/,http://www.imdb.com/title/tt2753778,8579,,
美国,18229,《发展受阻》全纪录,8.6,2013,杰夫·史密斯,纪录片,75,美国,160,3401615,https://movie.douban.com/subject/3401615/,http://www.imdb.com/title/tt1240538,18229,,
法国,14234,《各自逃生》的剧本,7.3,1979,让-吕克·戈达尔,短片,20,法国,31,2138332,https://movie.douban.com/subject/2138332/,http://www.imdb.com/title/tt0126022,14234,,
