i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
美国,1,肖申克的救赎,9.6,1994,弗兰克·德拉邦特,"剧情,犯罪",142,美国,840454,1292052,https://movie.douban.com/subject/1292052/,http://www.imdb.com/title/tt0111161,142,1,
中国大陆,2,霸王别姬,9.5,1993,陈凯歌,"剧情,爱情,同性",171,中国大陆 / 香港,601632,1291546,https://movie.douban.com/subject/1291546/,http://www.imdb.com/title/tt0106332,12,2,
法国,3,这个杀手不太冷,9.4,1994,吕克·贝松,"剧情,动作,犯罪",110,法国,806056,1295644,https://movie.douban.com/subject/1295644/,http://www.imdb.com/title/tt0110413,103,3,
美国,4,阿甘正传,9.4,1994,罗伯特·泽米吉斯,"剧情,爱情",142,美国,689613,1292720,https://movie.douban.com/subject/1292720/,http://www.imdb.com/title/tt0109830,83,4,
意大利,5,美丽人生,9.5,1997,罗伯托·贝尼尼,"剧情,喜剧,爱情,战争",116,意大利,401480,1292063,https://movie.douban.com/subject/1292063/,http://www.imdb.com/title/tt0118799,27,5,
日本,6,千与千寻,9.2,2001,宫崎骏,"剧情,动画,奇幻",125,日本,641302,1291561,https://movie.douban.com/subject/1291561/,http://www.imdb.com/title/tt0245429,96,6,
美国,7,辛德勒的名单,9.4,1993,史蒂文·斯皮尔伯格,"剧情,历史,战争",195,美国,371082,1295124,https://movie.douban.com/subject/1295124/,http://www.imdb.com/title/tt0108052,107,7,
美国,8,泰坦尼克号,9.2,1997,詹姆斯·卡梅隆,"剧情,爱情,灾难",194,美国,634299,1292722,https://movie.douban.com/subject/1292722/,http://www.imdb.com/title/tt0120338,58,8,
美国,9,盗梦空间,9.2,2010,克里斯托弗·诺兰,"剧情,动作,科幻,悬疑,冒险",148,美国 / 英国,742011,3541415,https://movie.douban.com/subject/3541415/,http://www.imdb.com/title/tt1375666,50,9,
美国,10,机器人总动员,9.3,2008,安德鲁·斯坦顿,"喜剧,爱情,科幻,动画,冒险",98,美国,486993,2131459,https://movie.douban.com/subject/2131459/,http://www.imdb.com/title/tt0910970,250,10,
意大利,11,海上钢琴师,9.2,1998,朱塞佩·托纳多雷,"剧情,音乐",165,意大利,585682,1292001,https://movie.douban.com/subject/1292001/,http://www.imdb.com/title/tt0120731,233,11,
印度,12,三傻大闹宝莱坞,9.1,2009,拉吉库马尔·希拉尼,"剧情,喜剧,爱情,歌舞",171,印度,653554,3793023,https://movie.douban.com/subject/3793023/,http://www.imdb.com/title/tt1187043,19,12,
美国,13,忠犬八公的故事,9.2,2009,拉斯·霍尔斯道姆,剧情,93,美国 / 英国,439099,3011091,https://movie.douban.com/subject/3011091/,http://www.imdb.com/title/tt1028532,248,13,
法国,14,放牛班的春天,9.2,2004,克里斯托夫·巴拉蒂,"剧情,音乐",97,法国 / 瑞士 / 德国,439247,1291549,https://movie.douban.com/subject/1291549/,http://www.imdb.com/title/tt0372824,219,14,
香港,15,大话西游之大圣娶亲,9.2,1995,刘镇伟,"喜剧,动作,爱情,奇幻,冒险",95,香港 / 中国大陆,473035,1292213,https://movie.douban.com/subject/1292213/,http://www.imdb.com/title/tt0114996,186,15,
美国,16,教父,9.2,1972,弗朗西斯·福特·科波拉,"剧情,犯罪",175,美国,334597,1291841,https://movie.douban.com/subject/1291841/,http://www.imdb.com/title/tt0068646,167,16,
日本,17,龙猫,9.1,1988,宫崎骏,"动画,奇幻",86,日本,406773,1291560,https://movie.douban.com/subject/1291560/,http://www.imdb.com/title/tt0096283,36,17,
美国,18,楚门的世界,9,1998,彼得·威尔,"剧情,科幻",103,美国,437862,1292064,https://movie.douban.com/subject/1292064/,http://www.imdb.com/title/tt0120382,52,18,
美国,19,乱世佳人,9.2,1939,维克多·弗莱明,"剧情,爱情,战争",238,美国,264694,1300267,https://movie.douban.com/subject/1300267/,http://www.imdb.com/title/tt0031381,86,19,
意大利,20,天堂电影院,9.1,1988,朱塞佩·托纳多雷,"剧情,爱情",155,意大利 / 法国,302786,1291828,https://movie.douban.com/subject/1291828/,http://www.imdb.com/title/tt0095765,153,20,
美国,21,当幸福来敲门,8.9,2006,加布里尔·穆奇诺,"剧情,家庭,传记",117,美国,525130,1849031,https://movie.douban.com/subject/1849031/,http://www.imdb.com/title/tt0454921,187,21,
法国,22,触不可及,9.1,2011,奥利维·那卡什,"剧情,喜剧",112,法国,356360,6786002,https://movie.douban.com/subject/6786002/,http://www.imdb.com/title/tt1675434,82,22,
香港,23,无间道,9,2002,刘伟强,"悬疑,惊悚,犯罪",101,香港,385758,1307914,https://movie.douban.com/subject/1307914/,http://www.imdb.com/title/tt0338564,32,25,
美国,24,十二怒汉,9.3,1957,西德尼·吕美特,剧情,96,美国,165877,1293182,https://movie.douban.com/subject/1293182/,http://www.imdb.com/title/tt0050083,172,26,
美国,25,怦然心动,8.9,2010,罗伯·莱纳,"剧情,喜剧,爱情",90,美国,526114,3319755,https://movie.douban.com/subject/3319755/,http://www.imdb.com/title/tt0817177,175,27,
美国,26,指环王3：王者无敌,9.1,2003,彼得·杰克逊,"剧情,动作,奇幻,冒险",201,美国 / 新西兰,278135,1291552,https://movie.douban.com/subject/1291552/,http://www.imdb.com/title/tt0167260,92,28,
日本,27,天空之城,9,1986,宫崎骏,"动画,奇幻,冒险",124,日本,322811,1291583,https://movie.douban.com/subject/1291583/,http://www.imdb.com/title/tt0092067,124,29,
美国,28,少年派的奇幻漂流,9,2012,李安,"剧情,奇幻,冒险",127,美国 / 台湾 / 英国 / 加拿大,564604,1929463,https://movie.douban.com/subject/1929463/,http://www.imdb.com/title/tt0454876,213,30,
美国,29,罗马假日,8.9,1953,威廉·惠勒,"剧情,喜剧,爱情",118,美国,376050,1293839,https://movie.douban.com/subject/1293839/,http://www.imdb.com/title/tt0046250,129,31,
美国,30,星际穿越,9.1,2014,克里斯托弗·诺兰,"剧情,科幻,悬疑,家庭,冒险",169,美国 / 英国 / 加拿大,466372,1889243,https://movie.douban.com/subject/1889243/,http://www.imdb.com/title/tt0816692,61,32,
中国大陆,31,鬼子来了,9.1,2000,姜文,"剧情,战争",139,中国大陆,219936,1291858,https://movie.douban.com/subject/1291858/,http://www.imdb.com/title/tt0245929,176,33,
香港,32,大话西游之月光宝盒,8.9,1995,刘镇伟,"喜剧,动作,爱情,奇幻,冒险,古装",87,香港 / 中国大陆,383526,1299398,https://movie.douban.com/subject/1299398/,http://www.imdb.com/title/tt0112778,127,34,
美国,33,蝙蝠侠：黑暗骑士,9,2008,克里斯托弗·诺兰,"剧情,动作,科幻,惊悚,犯罪",152,美国 / 英国,307024,1851857,https://movie.douban.com/subject/1851857/,http://www.imdb.com/title/tt0468569,201,35,
英国,34,两杆大烟枪,9,1998,盖·里奇,"剧情,喜剧,犯罪",107,英国,266830,1293350,https://movie.douban.com/subject/1293350/,http://www.imdb.com/title/tt0120735,148,36,
中国大陆,35,活着,9,1994,张艺谋,"剧情,家庭",132,中国大陆 / 香港,255706,1292365,https://movie.douban.com/subject/1292365/,http://www.imdb.com/title/tt0110081,21,37,
美国,36,飞屋环游记,8.9,2009,彼特·道格特,"剧情,喜剧,动画,奇幻,冒险",96,美国,485101,2129039,https://movie.douban.com/subject/2129039/,http://www.imdb.com/title/tt1049413,59,38,
德国,37,窃听风暴,9.1,2006,弗洛里安·亨克尔·冯·多纳斯马,"剧情,悬疑",137,德国,214631,1900841,https://movie.douban.com/subject/1900841/,http://www.imdb.com/title/tt0405094,93,39,
美国,38,飞越疯人院,9,1975,米洛斯·福尔曼,剧情,133,美国,270549,1292224,https://movie.douban.com/subject/1292224/,http://www.imdb.com/title/tt0073486,22,40,
美国,39,海豚湾,9.3,2009,路易·西霍尤斯,纪录片,92,美国,177762,3442220,https://movie.douban.com/subject/3442220/,http://www.imdb.com/title/tt1313104,5,41,
美国,40,闻香识女人,8.9,1992,马丁·布莱斯,剧情,157,美国,311640,1298624,https://movie.douban.com/subject/1298624/,http://www.imdb.com/title/tt0105323,200,42,
美国,41,V字仇杀队,8.8,2005,詹姆斯·麦克特格,"剧情,动作,科幻,惊悚",132,美国 / 英国 / 德国,400032,1309046,https://movie.douban.com/subject/1309046/,http://www.imdb.com/title/tt0434409,212,43,
日本,42,哈尔的移动城堡,8.9,2004,宫崎骏,"爱情,动画,奇幻,冒险",119,日本,335220,1308807,https://movie.douban.com/subject/1308807/,http://www.imdb.com/title/tt0347149,9,44,
美国,43,教父2,9.1,1974,弗朗西斯·福特·科波拉,"剧情,犯罪",202,美国,180271,1299131,https://movie.douban.com/subject/1299131/,http://www.imdb.com/title/tt0071562,245,45,
美国,44,美丽心灵,8.9,2001,朗·霍华德,"剧情,传记",135,美国,295581,1306029,https://movie.douban.com/subject/1306029/,http://www.imdb.com/title/tt0268978,193,46,
美国,45,指环王2：双塔奇兵,8.9,2002,彼得·杰克逊,"剧情,动作,奇幻,冒险",179,美国 / 新西兰,262579,1291572,https://movie.douban.com/subject/1291572/,http://www.imdb.com/title/tt0167261,101,47,
新西兰,46,指环王1：魔戒再现,8.9,2001,彼得·杰克逊,"剧情,动作,奇幻,冒险",178,新西兰 / 美国,293067,1291571,https://movie.douban.com/subject/1291571/,http://www.imdb.com/title/tt0120737,246,48,
美国,47,死亡诗社,8.9,1989,彼得·威尔,剧情,128,美国,266588,1291548,https://movie.douban.com/subject/1291548/,http://www.imdb.com/title/tt0097165,1,49,
日本,48,情书,8.8,1995,岩井俊二,"剧情,爱情",117,日本,360969,1292220,https://movie.douban.com/subject/1292220/,http://www.imdb.com/title/tt0113703,72,50,
